State,Num_Churches,Church_Name,Main Pastor Name,Addresses,Pastor's Phone Number,Pastor's Email
Delaware,55,Cathedral of St Peter,,"Wilmington, Delaware, 19801",,
Delaware,55,Christ Our King Parish,,"Wilmington, Delaware, 19802",,
Delaware,55,Church of the Holy Child,,"Wilmington, Delaware, 19810",,
Delaware,55,Corpus Christi Parish,,"Wilmington, Delaware, 19805",,
Delaware,55,Diocese of Wilmington,,"Wilmington, Delaware, 19899-2030",,
Delaware,55,Holy Angels Parish,,"Newark, Delaware, 19711",,
Delaware,55,Holy Cross,,"Stra, Delaware, 86399",,
Delaware,55,Holy Cross Parish,,"Dover, Delaware, 19901",,
Delaware,55,Holy Family Parish,,"Newark, Delaware, 19713",,
Delaware,55,Holy Rosary Parish,,"Claymont, Delaware, 19703",,
Delaware,55,Holy Spirit Parish,,"New Castle, Delaware, 19720",,
Delaware,55,Immaculate Heart of Mary Parish,,"Wilmington, Delaware, 19803",,
Delaware,55,Mary Mother of Peace,,"Millsboro, Delaware, 19966",,
Delaware,55,National Catholic Student Coalition,,"Newark, Delaware, 19711",,
Delaware,55,Our Lady Of Fatima,,"New Castle, Delaware, 19720",,
Delaware,55,Our Lady of Lourdes Parish,,"Seaford, Delaware, 19973",,
Delaware,55,Our Lady of Perpetual Help,,"Dover AFB, 19902-6419",,
Delaware,55,Resurrection Parish,,"Wilmington, Delaware, 19808",,
Delaware,55,St. Ann Parish,,"Wilmington, Delaware, 19806-2294",,
Delaware,55,St. Ann's Church,,"Bethany Beach, Delaware, 19930",,
Delaware,55,St. Anthony of Padua,,"Wilmington, Delaware, 19805",,
Delaware,55,St. Bernadette,,"Harrington, Delaware, 19952",,
Delaware,55,St. Catherine of Siena Parish,,"Wilmington, Delaware, 19808",,
Delaware,55,St. Colman,,"Ellendale, Delaware, 7140",,
Delaware,55,St. David Council No. 12842,,"Bear, Delaware, 19701-0426",,
Delaware,55,St. Edmond Parish,,"Rehoboth Beach, Delaware, 19971",,
Delaware,55,St. Elizabeth Ann Seton Parish,,"Bear, Delaware, 19701-1048",,
Delaware,55,St. Elizabeth Parish,,"Wilmington, Delaware, 19805",,
Delaware,55,St. Hedwig Parish,,"Wilmington, Delaware, 19805-4097",,
Delaware,55,St. Helena Parish,,"Wilmington, Delaware, 19809-2585",,
Delaware,55,St. John The Apostle Parish,,"Milford, Delaware, 19963-2217",,
Delaware,55,St. John the Baptist,,"Newark, Delaware, 19711",,
Delaware,55,St. John the Beloved Knights of Columbus Council 11796,,"Wilmington, Delaware, 19808",,
Delaware,55,St. John The Beloved Parish,,"Wilmington, Delaware, 19808",,
Delaware,55,St. Joseph On The Brandywine Parish,,"Greenville, Delaware, 19807",,
Delaware,55,St. Joseph Parish,,"Wilmington, Delaware, 19801",,
Delaware,55,St. Joseph Parish,,"Middletown, Delaware, 19709",,
Delaware,55,St. Jude The Apostle Church,,"Lewes, Delaware, 19958",,
Delaware,55,St. Margaret of Scotland (Glasgow),,"Newark, Delaware, 19702",,
Delaware,55,St. Mary Magdalen Parish (Fairfax),,"Wilmington, Delaware, 19803",,
Delaware,55,St. Mary of The Assumption Parish,,"Hockessin, Delaware, 19707",,
Delaware,55,St. Mary of The Immaculate Conception Parish,,"Wilmington, Delaware, 19801",,
Delaware,55,St. Matthew Parish,,"Wilmington, Delaware, 19804",,
Delaware,55,St. Michael The Archangel Parish,,"Georgetown, Delaware, 19947-1108",,
Delaware,55,St. Nicholas,,"Wilmington, Delaware, 19802",,
Delaware,55,St. Patrick Parish,,"Wilmington, Delaware, 19801",,
Delaware,55,St. Paul Parish,,"Wilmington, Delaware, 19805",,
Delaware,55,St. Paul Parish,,"Delaware City, Delaware, 19706",,
Delaware,55,St. Paul's Catholic Church,,"Wilmington, Delaware, 19805",,
Delaware,55,St. Peter Parish,,"New Castle, Delaware, 19720",,
Delaware,55,St. Polycarp Parish,,"Smyrna, Delaware, 19977-1617",,
Delaware,55,St. Stanislaus Kosta Parish,,"Wilmington, Delaware, 19801",,
Delaware,55,St. Thomas More Oratory,,"Newark, Delaware, 19711",,
